rank,feature,mean_abs_shap_log_odds,mean_shap_log_odds,feature_group
1,segment_accidents_total_prior,0.3136621385739439,0.1936074635457964,historical
2,road_length,0.1375028060650037,-0.01704870384616326,road
3,city_accidents_total_prior,0.07664211972108192,-0.06529070952259605,historical
4,segment_hours_since_prev_accident,0.07122618381277247,0.011045903550113558,historical
5,segment_latitude,0.056132687312866685,-0.0021506447833520626,road
6,road_oneway,0.038012589438000864,0.0017764481631515664,road
7,segment_longitude,0.031492720341215856,-0.001415591092022372,road
8,segment_has_history,0.024434510599353688,0.012367521681164628,historical
9,road_highway,0.018602191003781132,-0.0003683387548576981,road
10,poi_total_100m,0.01733681707694532,0.0005550857047823521,POI
11,poi_transit_stop_500m,0.016561813924585632,-0.0007937929985432563,POI
12,calendar_hour,0.013610581861421604,0.011178538872976934,calendar
13,poi_total_500m,0.013114698934089973,0.001294894272023272,POI
14,calendar_weekday,0.013003816087748058,0.010399707459456885,calendar
15,calendar_day,0.013003027489963162,0.010398843076007726,calendar
16,segment_accidents_prev_30d,0.010336133470755756,0.003913889190042741,historical
17,weather_interaction_adverse_history,0.009187293038039192,0.0027147432618864842,weather
18,poi_traffic_signal_250m,0.00772048881696386,0.0005237061606244922,POI
19,poi_healthcare_500m,0.007705340034509838,-0.0001530459742522285,POI
20,poi_traffic_signal_500m,0.0072529092344546225,-0.0010786885045226597,POI
21,poi_transit_stop_250m,0.007224558076010226,-0.0004581437834691073,POI
22,weather_interaction_precip_history,0.007157773055228917,0.0031971204041256257,weather
23,city_accidents_prev_24h,0.006338834918277944,-0.0018168838812990466,historical
24,road_lanes_missing,0.004758013358677216,-0.00035202277679216516,road
25,poi_crossing_100m,0.004525037482478484,2.1351082998841343e-05,POI
26,weather_interaction_adverse_maxspeed,0.0044034857025492796,0.0009328492677937694,weather
27,calendar_year,0.004262147416204683,0.0031231688057776204,calendar
28,poi_traffic_signal_100m,0.00419802426224863,9.127115213274688e-05,POI
29,poi_emergency_500m,0.003981206270045803,-0.0005413900640955238,POI
30,city_accidents_prev_30d,0.0037534474047389793,-0.003373732567264055,historical
31,weather_risk_freezing_now,0.0036230277224944276,-0.002687110718184908,weather
32,poi_education_500m,0.0035663410216735946,0.0009975270796625051,POI
33,poi_education_250m,0.0034802803452294562,-0.001119378857411495,POI
34,road_maxspeed_kmh,0.003339369753122181,-7.356540445357091e-05,road
35,road_maxspeed_missing,0.0031374939837859666,-0.0002612715192130085,road
36,poi_transit_stop_100m,0.003022292454397005,-0.00016161915753973673,POI
37,poi_total_250m,0.0030147308206684514,0.0002814809530439291,POI
38,calendar_is_school_year,0.0028314516462814763,0.002317305146796649,calendar
39,road_lanes_num,0.0025686127868228487,-0.00037821391759849303,road
40,segment_accidents_prev_7d,0.0023664679467307894,0.0009905071234398216,historical
41,road_name_missing,0.0018798738580742685,-0.00014277166720114482,road
42,poi_crossing_250m,0.0015273987847911974,-9.392652876860228e-07,POI
43,weather_temperature_change_1h,0.001421521263659011,3.786031726173425e-05,weather
44,weather_hours_since_precip,0.0013125614472163183,-6.894899609778332e-07,weather
45,calendar_is_rush_hour,0.0012938139550418928,3.108492711007902e-05,calendar
46,weather_temperature_change_3h,0.0011762171178011356,-1.4568185231720712e-05,weather
47,weather_interaction_adverse_rush_hour,0.0010945625037256945,1.6974774847099454e-05,weather
48,calendar_is_school_break,0.0010750439853928584,0.00018329511455449812,calendar
49,poi_education_100m,0.0010091246631369214,-2.861422670104646e-05,POI
50,weather_wind_mean_prev_24h,0.0010050123633679475,4.8320754815170747e-05,weather
51,weather_adverse_hours_prev_6h,0.0007164629801448322,4.696282248217339e-06,weather
52,weather_wind_gusts_10m,0.0006851980499955276,1.8076270731317685e-05,weather
53,poi_emergency_250m,0.0006630269232916338,8.494219288252714e-05,POI
54,city_accidents_prev_7d,0.0006136581795901475,-0.0003406530347745403,historical
55,weather_risk_precip_now,0.0006001147581870555,1.2672896988431866e-05,weather
56,weather_risk_snow_now,0.0005501372092234852,0.00045693961350458097,weather
57,weather_precipitation,0.00040006576042200803,-9.308465971541397e-06,weather
58,weather_wind_mean_prev_6h,0.0003660530318206423,4.78872234256172e-06,weather
59,poi_other_500m,0.00031542212439957874,3.9761940474500836e-05,POI
60,calendar_is_school_spring_break,0.00030635331242568513,-5.84974780605351e-06,calendar
61,poi_healthcare_250m,0.0001390857362896574,3.949348320733563e-05,POI
62,poi_other_250m,0.00012865656808720602,1.74853996680061e-05,POI
